GEO_ID,NAME,P010001,P010005,native american prop
13247,"Rockdale County, Georgia",62301,187,0.003001557
13249,"Schley County, Georgia",3507,2,0.000570288
13251,"Screven County, Georgia",10903,30,0.002751536
13253,"Seminole County, Georgia",6725,12,0.001784387
13255,"Spalding County, Georgia",47862,159,0.003322051
13257,"Stephens County, Georgia",20223,49,0.002422984
13259,"Stewart County, Georgia",5109,11,0.002153063
13261,"Sumter County, Georgia",24518,87,0.003548413
13263,"Talbot County, Georgia",5401,17,0.003147565
13265,"Taliaferro County, Georgia",1394,2,0.00143472
13267,"Tattnall County, Georgia",20114,62,0.00308243
13269,"Taylor County, Georgia",6728,5,0.000743163
13271,"Telfair County, Georgia",13184,25,0.001896238
13273,"Terrell County, Georgia",7011,10,0.00142633
13275,"Thomas County, Georgia",33583,149,0.004436769
13277,"Tift County, Georgia",29758,63,0.002117078
13279,"Toombs County, Georgia",19608,48,0.00244798
13281,"Towns County, Georgia",8830,21,0.002378256
13283,"Treutlen County, Georgia",5172,11,0.002126837
13285,"Troup County, Georgia",49242,110,0.002233865
13287,"Turner County, Georgia",6727,20,0.002973094
13289,"Twiggs County, Georgia",7167,24,0.003348681
13291,"Union County, Georgia",17563,58,0.003302397
13293,"Upson County, Georgia",20736,63,0.003038194
13295,"Walker County, Georgia",52500,150,0.002857143
13297,"Walton County, Georgia",61180,158,0.002582543
13299,"Ware County, Georgia",27755,97,0.003494866
13301,"Warren County, Georgia",4461,7,0.001569155
13303,"Washington County, Georgia",16141,21,0.001301035
13305,"Wayne County, Georgia",22638,98,0.004329004
13307,"Webster County, Georgia",2089,0,0
13309,"Wheeler County, Georgia",6022,6,0.000996347
13311,"White County, Georgia",20944,104,0.004965623
13313,"Whitfield County, Georgia",73316,408,0.005564952
13315,"Wilcox County, Georgia",7468,10,0.001339047
13317,"Wilkes County, Georgia",8237,16,0.001942455
13319,"Wilkinson County, Georgia",7239,23,0.003177234
13321,"Worth County, Georgia",16336,49,0.00299951
