GEO_ID,NAME,P010001,P010004,P010002
13303,"Washington County, Georgia",16141,8231,0.51
13305,"Wayne County, Georgia",22638,4442,0.20
13307,"Webster County, Georgia",2089,859,0.41
13309,"Wheeler County, Georgia",6022,2204,0.37
13311,"White County, Georgia",20944,355,0.02
13313,"Whitfield County, Georgia",73316,2887,0.04
13315,"Wilcox County, Georgia",7468,2655,0.36
13317,"Wilkes County, Georgia",8237,3427,0.42
13319,"Wilkinson County, Georgia",7239,2682,0.37
13321,"Worth County, Georgia",16336,4222,0.26
